epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,6394.33,0.53394,0.33689,1.01605,0.97172,0.97876,0.98746,0.85878,0.62208,0.26818,1.0721,0.00999991,0.00999991,0.00999991
96,6463.69,0.52847,0.33341,1.00844,0.97038,0.97869,0.98706,0.85385,0.62033,0.26452,1.06337,0.00999991,0.00999991,0.00999991
97,6533.27,0.52452,0.3332,1.00587,0.97408,0.97775,0.98797,0.85656,0.6211,0.2621,1.06281,0.0099999,0.0099999,0.0099999
98,6603.59,0.52831,0.3334,1.01042,0.97319,0.98001,0.98703,0.85623,0.61905,0.25998,1.06276,0.0099999,0.0099999,0.0099999
99,6673.9,0.52402,0.33427,1.01231,0.97456,0.97923,0.98649,0.85704,0.61775,0.25923,1.06214,0.0099999,0.0099999,0.0099999
100,6742.68,0.52175,0.33173,1.00773,0.97303,0.97903,0.98544,0.85481,0.61676,0.26074,1.06066,0.0099999,0.0099999,0.0099999
101,6811.5,0.52375,0.3326,1.0115,0.97307,0.97957,0.9866,0.85794,0.61508,0.26118,1.06149,0.0099999,0.0099999,0.0099999
102,6880.48,0.52426,0.33215,1.00742,0.97143,0.97952,0.98775,0.85856,0.61573,0.25954,1.06096,0.0099999,0.0099999,0.0099999
103,6949.9,0.52119,0.33044,1.00636,0.97195,0.98012,0.98873,0.86093,0.61373,0.26083,1.06062,0.0099999,0.0099999,0.0099999
104,7021.65,0.51801,0.32805,1.00563,0.9719,0.97995,0.98769,0.85968,0.61273,0.2605,1.0618,0.0099999,0.0099999,0.0099999
105,7093.99,0.5176,0.32683,1.0005,0.97133,0.98157,0.98737,0.86136,0.61368,0.25928,1.06118,0.0099999,0.0099999,0.0099999
106,7163.99,0.52049,0.32993,1.00392,0.97109,0.98093,0.98696,0.8629,0.6138,0.2628,1.06058,0.0099999,0.0099999,0.0099999
107,7234.73,0.51705,0.32708,0.99823,0.97142,0.98008,0.98689,0.86392,0.61199,0.26021,1.05596,0.0099999,0.0099999,0.0099999
108,7305.79,0.51236,0.32319,1.00304,0.97193,0.97952,0.98628,0.86388,0.60964,0.25879,1.05371,0.00999989,0.00999989,0.00999989
109,7376.39,0.51381,0.325,1.00117,0.97324,0.97921,0.98575,0.86361,0.60764,0.25809,1.05269,0.00999989,0.00999989,0.00999989
110,7444.86,0.51418,0.32581,1.00114,0.97332,0.97998,0.98649,0.8645,0.60826,0.25841,1.05275,0.00999989,0.00999989,0.00999989
111,7513.69,0.51363,0.32745,1.00053,0.97511,0.98061,0.98626,0.86526,0.60843,0.25696,1.05232,0.00999989,0.00999989,0.00999989
112,7583.58,0.51132,0.32298,0.9997,0.9759,0.98093,0.98548,0.86341,0.60835,0.25777,1.05141,0.00999989,0.00999989,0.00999989
113,7653.94,0.50737,0.31845,0.99907,0.97695,0.97997,0.9863,0.86271,0.60855,0.25799,1.05235,0.00999989,0.00999989,0.00999989
114,7724.58,0.5099,0.32112,0.99824,0.97588,0.97945,0.98661,0.86306,0.60748,0.25846,1.05256,0.00999989,0.00999989,0.00999989
115,7794.47,0.50914,0.32014,0.99673,0.97617,0.97913,0.98669,0.86333,0.60546,0.25865,1.05085,0.00999989,0.00999989,0.00999989
116,7864.31,0.50719,0.32212,1.00145,0.97646,0.97888,0.98679,0.86289,0.60595,0.25886,1.05333,0.00999989,0.00999989,0.00999989
117,7934.05,0.50445,0.31886,1.00033,0.97619,0.9794,0.98695,0.86452,0.60627,0.25824,1.05618,0.00999989,0.00999989,0.00999989
118,8004.35,0.50044,0.31951,0.99071,0.97627,0.97923,0.9871,0.8647,0.60709,0.25722,1.05786,0.00999988,0.00999988,0.00999988
119,8076.07,0.5048,0.3226,1.00011,0.97563,0.97902,0.98852,0.86606,0.60795,0.25739,1.06024,0.00999988,0.00999988,0.00999988
120,8146.08,0.50654,0.32244,0.99568,0.97706,0.97994,0.98887,0.86612,0.60795,0.25658,1.06242,0.00999988,0.00999988,0.00999988
121,8215.97,0.50216,0.31791,0.99873,0.97781,0.97998,0.98897,0.86591,0.60875,0.25724,1.06521,0.00999988,0.00999988,0.00999988
122,8285.86,0.50516,0.3189,0.99601,0.97816,0.97988,0.98897,0.86612,0.60959,0.25703,1.06615,0.00999988,0.00999988,0.00999988
123,8357.79,0.50158,0.3165,0.99381,0.9788,0.98007,0.98855,0.86629,0.6098,0.2567,1.06552,0.00999988,0.00999988,0.00999988
124,8428.41,0.49942,0.31632,0.99645,0.97881,0.98067,0.98878,0.86483,0.60926,0.25649,1.06457,0.00999988,0.00999988,0.00999988
125,8498.39,0.50044,0.31915,0.99486,0.97873,0.98098,0.98925,0.86664,0.60986,0.25573,1.06646,0.00999988,0.00999988,0.00999988
126,8568.74,0.49842,0.31722,0.99167,0.97899,0.9813,0.98946,0.86653,0.60959,0.25503,1.06705,0.00999988,0.00999988,0.00999988
127,8638.23,0.49792,0.3173,0.99199,0.97934,0.98159,0.98911,0.86643,0.60996,0.25552,1.06739,0.00999988,0.00999988,0.00999988
128,8707.95,0.49703,0.31387,0.99183,0.97846,0.98249,0.9889,0.86587,0.61062,0.2556,1.06819,0.00999987,0.00999987,0.00999987
129,8777.53,0.49649,0.31622,0.99153,0.97882,0.98288,0.98882,0.86676,0.6098,0.25453,1.06691,0.00999987,0.00999987,0.00999987
130,8847.29,0.49649,0.31588,0.98798,0.9788,0.98244,0.98873,0.8677,0.60872,0.25498,1.06501,0.00999987,0.00999987,0.00999987
131,8918.11,0.49372,0.3161,0.98748,0.97888,0.98205,0.98899,0.86729,0.60815,0.25493,1.06354,0.00999987,0.00999987,0.00999987
132,8987.54,0.49531,0.31367,0.99177,0.97893,0.98229,0.98903,0.86647,0.6079,0.25433,1.06308,0.00999987,0.00999987,0.00999987
133,9058.23,0.48871,0.31232,0.99111,0.9786,0.98226,0.98913,0.86678,0.60716,0.25383,1.06325,0.00999987,0.00999987,0.00999987
134,9127.85,0.48818,0.31054,0.98941,0.97839,0.98209,0.98898,0.86678,0.60688,0.25398,1.06374,0.00999987,0.00999987,0.00999987
135,9197.83,0.4898,0.31258,0.98852,0.97859,0.98207,0.98894,0.86626,0.60704,0.25485,1.06459,0.00999987,0.00999987,0.00999987
136,9266.41,0.48881,0.31293,0.98782,0.97837,0.9822,0.98891,0.86686,0.60676,0.25418,1.06467,0.00999987,0.00999987,0.00999987
137,9335.41,0.4931,0.31129,0.98805,0.97829,0.98206,0.98869,0.86585,0.60576,0.25319,1.06392,0.00999987,0.00999987,0.00999987
138,9407.1,0.48957,0.31105,0.98558,0.97809,0.982,0.98872,0.86643,0.60595,0.25333,1.06452,0.00999986,0.00999986,0.00999986
139,9477.21,0.48558,0.30852,0.98525,0.97777,0.98208,0.98888,0.86707,0.60577,0.25317,1.06417,0.00999986,0.00999986,0.00999986
140,9547.41,0.48259,0.30851,0.98915,0.97751,0.98211,0.98897,0.86715,0.60568,0.25267,1.06458,0.00999986,0.00999986,0.00999986
141,9616.99,0.48657,0.30885,0.98371,0.97707,0.98217,0.98898,0.86835,0.60531,0.25251,1.06396,0.00999986,0.00999986,0.00999986
142,9686.8,0.48417,0.30484,0.98003,0.9773,0.98219,0.98881,0.86848,0.60449,0.25176,1.06279,0.00999986,0.00999986,0.00999986
143,9756.53,0.48685,0.31016,0.98611,0.97699,0.98227,0.98865,0.86914,0.60372,0.2508,1.06159,0.00999986,0.00999986,0.00999986
144,9828.84,0.48158,0.30865,0.98243,0.97734,0.98218,0.98882,0.86881,0.60344,0.25034,1.06109,0.00999986,0.00999986,0.00999986
145,9899.06,0.48471,0.31198,0.98588,0.9769,0.98224,0.98888,0.86838,0.60357,0.25053,1.06109,0.00999986,0.00999986,0.00999986
146,9964.72,0.48206,0.3077,0.9824,0.97729,0.98235,0.98875,0.86817,0.60332,0.25031,1.06117,0.00999986,0.00999986,0.00999986
147,10031.3,0.48139,0.30836,0.98329,0.97788,0.98241,0.9889,0.86861,0.60318,0.2499,1.0609,0.00999986,0.00999986,0.00999986
148,10099.1,0.48231,0.3103,0.9826,0.97852,0.98247,0.98894,0.86943,0.60287,0.24957,1.06034,0.00999985,0.00999985,0.00999985
149,10167,0.47855,0.30491,0.98449,0.97844,0.98241,0.98894,0.86944,0.60259,0.24902,1.06035,0.00999985,0.00999985,0.00999985
150,10234.5,0.47925,0.30268,0.98195,0.97861,0.98223,0.98914,0.86884,0.60224,0.24885,1.06042,0.00999985,0.00999985,0.00999985
151,10302.8,0.48161,0.30665,0.98617,0.97879,0.98221,0.98923,0.86899,0.60212,0.24925,1.06064,0.00999985,0.00999985,0.00999985
152,10370.2,0.47946,0.30551,0.98335,0.97914,0.98226,0.98911,0.86922,0.60211,0.24915,1.06052,0.00999985,0.00999985,0.00999985
153,10437.7,0.48394,0.30702,0.98822,0.97962,0.98208,0.98883,0.8696,0.60156,0.24853,1.06015,0.00999985,0.00999985,0.00999985
154,10505.5,0.47525,0.30336,0.97639,0.97917,0.98187,0.98845,0.86929,0.60161,0.24876,1.06001,0.00999985,0.00999985,0.00999985
155,10572.6,0.47528,0.30192,0.98066,0.97902,0.98197,0.98841,0.86963,0.6016,0.24871,1.06032,0.00999985,0.00999985,0.00999985
156,10640.5,0.47992,0.30857,0.98014,0.97878,0.98177,0.98841,0.86918,0.60195,0.24886,1.06033,0.00999985,0.00999985,0.00999985
157,10707.7,0.4736,0.30321,0.97884,0.97874,0.98169,0.98855,0.86943,0.60203,0.24878,1.0607,0.00999985,0.00999985,0.00999985
158,10773.5,0.47801,0.30385,0.97612,0.9795,0.98178,0.98867,0.86955,0.60188,0.24823,1.06046,0.00999984,0.00999984,0.00999984
159,10839.6,0.47222,0.30447,0.97993,0.97995,0.98177,0.9887,0.87004,0.6017,0.24777,1.06063,0.00999984,0.00999984,0.00999984
160,10906.5,0.47276,0.3042,0.97669,0.97982,0.98196,0.98867,0.87028,0.60195,0.24776,1.061,0.00999984,0.00999984,0.00999984
161,10972.5,0.47256,0.30131,0.97992,0.98,0.98192,0.98859,0.86997,0.60188,0.2475,1.06124,0.00999984,0.00999984,0.00999984
162,11038.9,0.47207,0.30008,0.97643,0.98009,0.98162,0.98857,0.86946,0.60148,0.24765,1.06111,0.00999984,0.00999984,0.00999984
163,11104.8,0.47022,0.30238,0.97427,0.9802,0.98158,0.98859,0.86976,0.60137,0.24748,1.06067,0.00999984,0.00999984,0.00999984
164,11170.2,0.46887,0.29759,0.97474,0.98037,0.98153,0.98853,0.86951,0.60127,0.24742,1.06105,0.00999984,0.00999984,0.00999984
165,11235.8,0.47111,0.30301,0.97957,0.98052,0.9817,0.98845,0.86959,0.60112,0.2473,1.06117,0.00999984,0.00999984,0.00999984
166,11301.5,0.4695,0.30132,0.98076,0.98051,0.982,0.98859,0.86924,0.6009,0.24673,1.06128,0.00999984,0.00999984,0.00999984
167,11367,0.47116,0.30174,0.97854,0.98048,0.9817,0.98846,0.86972,0.60081,0.24688,1.0613,0.00999984,0.00999984,0.00999984
168,11431.7,0.46824,0.29821,0.9743,0.98034,0.98193,0.98842,0.87024,0.60094,0.24706,1.06179,0.00999983,0.00999983,0.00999983
169,11497.2,0.46994,0.30154,0.98093,0.9804,0.98194,0.98865,0.87025,0.60099,0.24695,1.06239,0.00999983,0.00999983,0.00999983
170,11564.6,0.46757,0.30025,0.97841,0.98036,0.98196,0.98862,0.87031,0.60103,0.247,1.06274,0.00999983,0.00999983,0.00999983
171,11630.6,0.46469,0.29604,0.97799,0.98028,0.98196,0.98861,0.87032,0.60083,0.24736,1.06313,0.00999983,0.00999983,0.00999983
172,11697.2,0.46652,0.29909,0.97503,0.9802,0.98198,0.9886,0.86979,0.60089,0.24736,1.0632,0.00999983,0.00999983,0.00999983
173,11762.7,0.46149,0.29553,0.97089,0.98014,0.98203,0.98858,0.87085,0.60061,0.24751,1.06307,0.00999983,0.00999983,0.00999983
174,11828.4,0.46324,0.29417,0.97249,0.97993,0.98207,0.98858,0.87067,0.60059,0.24699,1.06314,0.00999983,0.00999983,0.00999983
175,11894.1,0.46196,0.29862,0.9744,0.98009,0.98205,0.98855,0.87036,0.60078,0.24747,1.0634,0.00999983,0.00999983,0.00999983
176,11959.3,0.46349,0.29831,0.97646,0.97996,0.98196,0.98852,0.87019,0.60092,0.24796,1.06394,0.00999983,0.00999983,0.00999983
177,12024.7,0.46672,0.29884,0.97489,0.97999,0.98192,0.98851,0.8705,0.60101,0.24752,1.06434,0.00999983,0.00999983,0.00999983
178,12090.6,0.46291,0.29848,0.97219,0.98013,0.98212,0.98864,0.86989,0.60111,0.24758,1.06466,0.00999982,0.00999982,0.00999982
179,12156,0.46317,0.30008,0.97368,0.98021,0.98213,0.98862,0.86982,0.60087,0.24759,1.06451,0.00999982,0.00999982,0.00999982
180,12221.3,0.45988,0.29469,0.97269,0.98029,0.98217,0.9885,0.86963,0.60086,0.24777,1.06463,0.00999982,0.00999982,0.00999982
181,12287.3,0.45976,0.29625,0.97755,0.9803,0.98222,0.98851,0.86932,0.60065,0.24748,1.06483,0.00999982,0.00999982,0.00999982
182,12353.1,0.46487,0.2957,0.97469,0.98031,0.98229,0.98849,0.86912,0.60082,0.24731,1.06508,0.00999982,0.00999982,0.00999982
183,12418.9,0.46004,0.29425,0.97236,0.98043,0.98225,0.98847,0.87003,0.6008,0.24759,1.06525,0.00999982,0.00999982,0.00999982
184,12484.4,0.45847,0.29299,0.97037,0.98036,0.98223,0.98848,0.87026,0.60072,0.24751,1.06503,0.00999982,0.00999982,0.00999982
185,12549.8,0.45817,0.28952,0.97028,0.98033,0.98223,0.98847,0.87002,0.60068,0.24734,1.06489,0.00999982,0.00999982,0.00999982
186,12615.8,0.45972,0.29291,0.97291,0.98042,0.98224,0.98848,0.87009,0.60055,0.24674,1.06501,0.00999982,0.00999982,0.00999982
187,12680.8,0.46052,0.29473,0.97663,0.98028,0.98209,0.98836,0.87029,0.60065,0.2467,1.06533,0.00999982,0.00999982,0.00999982
188,12746.6,0.46208,0.2954,0.97408,0.98031,0.98212,0.98838,0.87076,0.60047,0.24683,1.0654,0.00999981,0.00999981,0.00999981
189,12812.3,0.45807,0.29405,0.96911,0.98025,0.98223,0.98839,0.87043,0.60049,0.24627,1.06558,0.00999981,0.00999981,0.00999981
